0.23506815365551,0.09913258983891,0.39504337050805,0.27075588599752
a,0.068968042965172,0.63225914575486,0.13410963593051,0.16466317534946
aana,1,0.0005,0.0005,0.0005
abl,0.72016462784452,0.0005,0.071421596561117,0.20841377559436
about,0.53538377469028,0.0005,0.41297000000652,0.051646225303202
abov,0.059016142210955,0.45481158845761,0.44774425270414,0.038428016627293
absolut,0.0005,0.0005,0.95765874649702,0.042341253502982
ac,0.045512036877005,0.75544292211219,0.054163321176712,0.14488171983409
access,0.0005,0.0005,0.091562811669754,0.90843718833025
account,0.020239093352504,0.41593023430508,0.092330811591709,0.4714998607507
across,0.0005,0.0005,0.8275171779473,0.1724828220527
activ,0.011794571077516,0.0005,0.5018075738345,0.48639785508799
acttv,0.0005,0.80380134886573,0.0005,0.19619865113427
actual,1,0.0005,0.0005,0.0005
ad,0.0054824163793369,0.76701061053066,0.022835949529867,0.20467102356013
add,0.03953660717984,0.37500471910078,0.070578052528378,0.514880621191
addit,0.0005,0.0005,1,0.0005
afrona,0.0005,0.9562363238512,0.0005,0.043763676148796
after,0.56275166321636,0.086091927832374,0.16202997709983,0.18912643185144
again,0.58407548311427,0.0005,0.19860032110912,0.21732419577661
against,0.0005,0.31661609759926,0.026483989761544,0.6568999126392
aircel,0.0005,0.0005,0.925019991533,0.074980008467002
airtel,0.01648743016236,0.24239407638947,0.40616484245453,0.33495365099364
airtelmonei,0.0005,0.54830614805521,0.0005,0.45169385194479
alert,0.0005,0.0005,0.55586514349401,0.44413485650599
alisha,1,0.0005,0.0005,0.0005
all,0.27483148384069,0.0005,0.66009400088836,0.065074515270953
allloc,0.0005,0.0005,1,0.0005
allow,0.059084258123561,0.0005,0.017578864124905,0.92333687775153
almost,0.8988306544423,0.0005,0.041141823942598,0.060027521615104
alreadi,0.57953388126154,0.0005,0.043106013674449,0.37736010506401
alright,1,0.0005,0.0005,0.0005
also,0.30198833087021,0.15344782062342,0.28237992921082,0.26218391929555
am,0.31517889397676,0.0005,0.24462428203886,0.44019682398438
amazon,0.0005,0.0005,0.014680883943749,0.98531911605625
amount,0.067371505956089,0.15975468349838,0.100222511605,0.67265129894053
amzn,0.0005,0.0005,0.0005,1
an,0.15585208666494,0.33876723879555,0.20093414414701,0.3044465303925
and,0.30348911935339,0.013707591890795,0.45319328271322,0.2296100060426
ani,0.08024224328627,0.063424806464189,0.46156069948845,0.39477225076109
anyon,0.0094537517959863,0.0005,0.0056253974770972,0.98492085072692
anytim,0.6487631200326,0.0005,0.25736169776283,0.093875182204565
anywai,1,0.0005,0.0005,0.0005
app,0.0005,0.027953176188663,0.49102191548468,0.48102490832666
appli,0.098221658164335,0.099817760109505,0.66795657120539,0.13400401052077
ar,0.50050004393639,0.19547470833621,0.1506616321645,0.1533636155629
